Token_Address,Num_Unique_Clusters,Global_Cluster_Percentage,Individual_Cluster_Percentages,Status,Status_Color
2ubGDs2rfEDCBThb5Nx3byNLvEBZ8d2EcKW1HrSZpump,1,78.88,VisualCluster:78.88%,RISKY,RED
EXd2Nrsx7HmtT493roMryiU4mZ3tMRGJDACCNDPebonk,1,2.24,VisualCluster:2.24%,OPPORTUNITY,ORANGE
GQcgHAf6HufvYsvLEKnLUMGHCNimx4xwD5QBiLzUbonk,1,7.60,VisualCluster:7.60%,RISKY,RED
C68NjanhabAfGNb46jrRSiUMdkpHffaYKnY67wK7bonk,1,2.45,TopIndividual:2.45%,OPPORTUNITY,ORANGE
GndXPkN4LaMhudfXgEXv8SXa6NguBfiekWZKxpwSbonk,3,15.78,VisualCluster:9.14%; VisualCluster:4.35%; VisualCluster:2.29%,RISKY,RED
GndXPkN4LaMhudfXgEXv8SXa6NguBfiekWZKxpwSbonk,1,4.35,VisualCluster:4.35%,OPPORTUNITY,ORANGE
DkA8xBcU4KUrMDk6pTd5XpRhxsWxfm7GwGCD365Ppump,1,75.83,VisualCluster:75.83%,RISKY,RED
97W6yhaVds4JM92y9xDQYfQUqQ46QZ4zvwh1JMpfbonk,3,9.32,VisualCluster:2.94%; VisualCluster:3.64%; VisualCluster:2.74%,RISKY,RED
A4WU95HHYX8u3vb18oFpz6JRcsxfM4VmZK9zsXCUbonk,1,2.94,TopIndividual:2.94%,OPPORTUNITY,ORANGE
4ZVCJdxrbWLWKFFAZqqphyNBUhPE7YpnHWXvFuKkbonk,1,3.33,TopIndividual:3.33%,OPPORTUNITY,ORANGE
4ZVCJdxrbWLWKFFAZqqphyNBUhPE7YpnHWXvFuKkbonk,1,2.45,TopIndividual:2.45%,OPPORTUNITY,ORANGE
JD5uduKyQ5Yht7Bs1wtvaZutKMbNBFEWuZSxEqrypump,1,58.24,VisualCluster:58.24%,RISKY,RED
JD5uduKyQ5Yht7Bs1wtvaZutKMbNBFEWuZSxEqrypump,1,56.60,VisualCluster:56.60%,RISKY,RED
E3kRwpjjt75R5KrXDHPkgZg4uskGR5BQnyc5wCRrbonk,1,4.12,VisualCluster:4.12%,OPPORTUNITY,ORANGE
4cfE9YoUzxUMn1sdYUkca7qnWuWUBgjucQ1ZWRevpump,2,5.45,VisualCluster:3.17%; VisualCluster:2.28%,RISKY,RED
HvSMMSdYFWdtKAhi94TUZg3hDrNtYLQPrQoAW6b5bonk,1,8.49,VisualCluster:8.49%,RISKY,RED
BBqxtfWP3A7ah89vNz9PXFoHH4omauchqVrrHAGDbonk,1,3.23,TopIndividual:3.23%,OPPORTUNITY,ORANGE
J1rfosSdRqBbpSegRpCtMQDxDoVsYR41zMywoXkNYiKB,1,2.36,TopIndividual:2.36%,OPPORTUNITY,ORANGE
G97cAcBv5hZKzZZhFkqkxfgchYeUEQdfyHbiDbxabonk,1,4.05,TopIndividual:4.05%,OPPORTUNITY,ORANGE
