timestamp,token_name,mint_address,reason,buy_price,sell_price,percent,result,buy_flag,sell_flag,buys,sells,Name,Price USD,Liquidity(1m),Volume(1m),1m Change,Open Chart,Snipe,Ghost Buyer,Global_Cluster_Percentage,Highest_Risk_Reason_Cluster,DexScreener_Pair_Address,DexScreener_Liquidity_USD,DexScreener_Token_Price_USD,DexScreener_Token_Name,LP_Percent_Supply,Cluster_Token_Amount_Est,Pool_Project_Token_Amount_Est,Dump_Risk_LP_vs_Cluster_Ratio,Price_Impact_Cluster_Sell_Percent,Overall_Risk_Status,Risk_Warning_Details,percent_value,dump_detected,holders,price_impact
2025-06-22 01:51:44,#RepTheSet,8yckEpnHhXuKJqfEj4SDVTnRymdcXF5NoxcWzc1wpump,No buy signal timeout,,,,,False,False,0,0,,,,,,,,,,,,,,,,,,,,,,,False,,
2025-06-22 02:00:44,Usa vs Iran,H5zLVRkfH1j21Aeda87u6jX7bckSytHD66HdxPWQpump,Take profit,3.24e-05,3.594e-05,10.93%,PROFIT,True,True,1,1,,,,,,,,,,,,,,,,,,,,,,10.93,False,,
2025-06-22 02:03:48,#RepTheSet,8yckEpnHhXuKJqfEj4SDVTnRymdcXF5NoxcWzc1wpump,No buy signal timeout,,,,,False,False,0,0,,,,,,,,,,,,,,,,,,,,,,,False,,
2025-06-22 02:15:02,Usa vs Iran,H5zLVRkfH1j21Aeda87u6jX7bckSytHD66HdxPWQpump,Take profit,3.743e-05,4.316e-05,15.31%,PROFIT,True,True,2,2,,,,,,,,,,,,,,,,,,,,,,15.31,False,,
2025-06-22 02:18:15,Unknown,AtSfnennv6EVi5wfYi4AjoRFAL8DPs5XzFKCxVXHpump,Take profit,8.411e-05,9.267e-05,10.18%,PROFIT,True,True,1,1,,,,,,,,,,,,,,,,,,,,,,10.18,False,,
2025-06-22 02:21:59,#RepTheSet,8yckEpnHhXuKJqfEj4SDVTnRymdcXF5NoxcWzc1wpump,Stop loss,9.742e-06,8.183e-06,-16.00%,LOSS,True,True,1,1,,,,,,,,,,,,,,,,,,,,,,-16.0,False,,
2025-06-22 02:30:04,PEACE THROUGH STRENGTH,FiXj8J45Hh2e357bfaVVUSW3kqmpAEemdapRQNxBpump,No buy signal timeout,,,,,False,False,0,0,,,,,,,,,,,,,,,,,,,,,,,False,,
2025-06-22 02:33:09,Moyom,9izsfm62akwsFz3kxEqZyd1XnBsWSg7y7yMtvK23pump,No buy signal timeout,,4.794e-05,,,False,True,0,1,,,,,,,,,,,,,,,,,,,,,,,False,,
2025-06-22 02:36:13,Unknown,AtSfnennv6EVi5wfYi4AjoRFAL8DPs5XzFKCxVXHpump,No buy signal timeout,,,,,False,False,1,1,,,,,,,,,,,,,,,,,,,,,,,False,,
2025-06-22 02:38:53,Usa vs Iran,H5zLVRkfH1j21Aeda87u6jX7bckSytHD66HdxPWQpump,Stop loss,3.277e-05,2.98e-05,-9.06%,LOSS,True,True,3,3,,,,,,,,,,,,,,,,,,,,,,-9.06,False,,
2025-06-22 02:45:46,#RepTheSet,8yckEpnHhXuKJqfEj4SDVTnRymdcXF5NoxcWzc1wpump,Stop loss,6.638e-06,6.2e-06,-6.60%,LOSS,True,True,2,2,,,,,,,,,,,,,,,,,,,,,,-6.6,False,,
2025-06-22 03:04:01,Moyom,9izsfm62akwsFz3kxEqZyd1XnBsWSg7y7yMtvK23pump,Stop loss,3.156e-05,2.542e-05,-19.46%,LOSS,True,True,1,2,,,,,,,,,,,,,,,,,,,,,,-19.46,False,,
2025-06-22 03:05:39,Unknown,AtSfnennv6EVi5wfYi4AjoRFAL8DPs5XzFKCxVXHpump,Take profit,8.822e-05,0.0001164,31.94%,PROFIT,True,True,2,2,,,,,,,,,,,,,,,,,,,,,,31.94,False,,
2025-06-22 03:08:43,#RepTheSet,8yckEpnHhXuKJqfEj4SDVTnRymdcXF5NoxcWzc1wpump,No buy signal timeout,,,,,False,False,2,2,,,,,,,,,,,,,,,,,,,,,,,False,,
2025-06-22 03:17:17,werld wur thwee,AWFmsUMzW7nM3wj7aYNz3LByAoLsDVw618xX6fMUpump,Take profit,6.153e-05,7.604e-05,23.58%,PROFIT,True,True,1,1,,,,,,,,,,,,,,,,,,,,,,23.58,False,,
2025-06-22 03:18:23,Moyom,9izsfm62akwsFz3kxEqZyd1XnBsWSg7y7yMtvK23pump,Stop loss,2.576e-05,2.379e-05,-7.65%,LOSS,True,True,2,3,,,,,,,,,,,,,,,,,,,,,,-7.65,False,,
2025-06-22 03:21:28,PEACE THROUGH STRENGTH,FiXj8J45Hh2e357bfaVVUSW3kqmpAEemdapRQNxBpump,No buy signal timeout,,,,,False,False,0,0,,,,,,,,,,,,,,,,,,,,,,,False,,
2025-06-22 03:27:17,Usa vs Iran,H5zLVRkfH1j21Aeda87u6jX7bckSytHD66HdxPWQpump,Stop loss,3.59e-05,3.331e-05,-7.21%,LOSS,True,True,4,4,,,,,,,,,,,,,,,,,,,,,,-7.21,False,,
2025-06-22 03:30:21,#RepTheSet,8yckEpnHhXuKJqfEj4SDVTnRymdcXF5NoxcWzc1wpump,No buy signal timeout,,,,,False,False,2,2,,,,,,,,,,,,,,,,,,,,,,,False,,
2025-06-22 03:53:09,Moyom,9izsfm62akwsFz3kxEqZyd1XnBsWSg7y7yMtvK23pump,Take profit,1.493e-05,1.889e-05,26.52%,PROFIT,True,True,3,4,,,,,,,,,,,,,,,,,,,,,,26.52,False,,
2025-06-22 03:54:15,PEACE THROUGH STRENGTH,FiXj8J45Hh2e357bfaVVUSW3kqmpAEemdapRQNxBpump,Stop loss,4.291e-05,4.05e-05,-5.62%,LOSS,True,True,1,1,,,,,,,,,,,,,,,,,,,,,,-5.62,False,,
2025-06-22 03:57:20,Unknown,AtSfnennv6EVi5wfYi4AjoRFAL8DPs5XzFKCxVXHpump,No buy signal timeout,,,,,False,False,2,2,,,,,,,,,,,,,,,,,,,,,,,False,,
2025-06-22 04:00:24,Usa vs Iran,H5zLVRkfH1j21Aeda87u6jX7bckSytHD66HdxPWQpump,No buy signal timeout,,3.321e-05,,,False,True,4,5,,,,,,,,,,,,,,,,,,,,,,,False,,
2025-06-22 04:09:57,#RepTheSet,8yckEpnHhXuKJqfEj4SDVTnRymdcXF5NoxcWzc1wpump,Stop loss,6.266e-06,5.948e-06,-5.08%,LOSS,True,True,3,3,,,,,,,,,,,,,,,,,,,,,,-5.08,False,,
2025-06-22 04:15:02,George W Trump,DPUuz45t33MZmhY9WKxHf23kdU2HBChgqoeD8ivkV1yd,No buy signal timeout,,,,,False,False,0,0,,,,,,,,,,,,,,,,,,,,,,,False,,
2025-06-22 04:16:10,Moyom,9izsfm62akwsFz3kxEqZyd1XnBsWSg7y7yMtvK23pump,Take profit,2.713e-05,3.058e-05,12.72%,PROFIT,True,True,4,5,,,,,,,,,,,,,,,,,,,,,,12.72,False,,
2025-06-22 04:17:48,PEACE THROUGH STRENGTH,FiXj8J45Hh2e357bfaVVUSW3kqmpAEemdapRQNxBpump,Take profit,2.749e-05,3.146e-05,14.44%,PROFIT,True,True,2,2,,,,,,,,,,,,,,,,,,,,,,14.44,False,,
2025-06-22 04:20:52,Unknown,AtSfnennv6EVi5wfYi4AjoRFAL8DPs5XzFKCxVXHpump,No buy signal timeout,,,,,False,False,2,2,,,,,,,,,,,,,,,,,,,,,,,False,,
2025-06-22 04:23:57,jojo,3tcFpsp1Kqr71ycieYfeC8uHZRAEo1P45JwC81qkpump,No buy signal timeout,,4.843e-06,,,False,True,0,1,,,,,,,,,,,,,,,,,,,,,,,False,,
