Address,Name,Price USD,Liquidity(1m),Volume(1m),1m Change,Open Chart,Snipe,Ghost Buyer
38A34FZQK7JWQUPXJi4EUpUSaUYTSx2gag1Xns7Dpump,JEROME,0.00040600,78196.00,3353.38,5.45,"=HYPERLINK(""https://dexscreener.com/solana/38A34FZQK7JWQUPXJi4EUpUSaUYTSx2gag1Xns7Dpump"",""Open Chart"")",Yes,
9Mr8mbaD3FxbgV5d7eiYBQS8ov1vcEADubYtnh8kbonk,Douyin Doge,0.00004873,23867.81,1628.39,11.97,"=HYPERLINK(""https://dexscreener.com/solana/9Mr8mbaD3FxbgV5d7eiYBQS8ov1vcEADubYtnh8kbonk"",""Open Chart"")",Yes,
BQFtfX5CJfpSrDM6X19Kj6vaiuLikW3vM6PibFWsbonk,start digging in yo butt twin,0.00004993,24627.59,231.04,3.78,"=HYPERLINK(""https://dexscreener.com/solana/BQFtfX5CJfpSrDM6X19Kj6vaiuLikW3vM6PibFWsbonk"",""Open Chart"")",Yes,Yes
J1QFceBnDhwv6hv1Q2jXnuTBKzYrAGQQAUmhe71hbonk,Weibo Panda,0.00004380,23137.07,1031.30,6.18,"=HYPERLINK(""https://dexscreener.com/solana/J1QFceBnDhwv6hv1Q2jXnuTBKzYrAGQQAUmhe71hbonk"",""Open Chart"")",Yes,
2BnooCGYmhXguqyxZNuiCo7HNFupr6AXYFRPn3A3bonk,coinu,0.00021940,57125.34,2850.09,4.68,"=HYPERLINK(""https://dexscreener.com/solana/2BnooCGYmhXguqyxZNuiCo7HNFupr6AXYFRPn3A3bonk"",""Open Chart"")",Yes,Yes
8Yx5iycBgiQnwsWYNSVS5GR3PAjFfe1hdYEexAxdbonk,Tencent QQ Penguin,0.00013800,40610.92,1080.76,7.48,"=HYPERLINK(""https://dexscreener.com/solana/8Yx5iycBgiQnwsWYNSVS5GR3PAjFfe1hdYEexAxdbonk"",""Open Chart"")",Yes,
HzeRxjwkbK9XoBWReMWWdCewoYLVjxyD2txeVJ2Vbonk,Mocha Pom,0.00060870,89914.41,2268.17,4.35,"=HYPERLINK(""https://dexscreener.com/solana/HzeRxjwkbK9XoBWReMWWdCewoYLVjxyD2txeVJ2Vbonk"",""Open Chart"")",Yes,Yes
4bTdfxUMEcf8SL4errcTNwW8YwMc8c4ZCzpaD24obonk,Ming Muang,0.00019640,54638.23,4493.67,9.11,"=HYPERLINK(""https://dexscreener.com/solana/4bTdfxUMEcf8SL4errcTNwW8YwMc8c4ZCzpaD24obonk"",""Open Chart"")",Yes,Yes
GTLjYQ14NtB4X2ayUnGJRtBFWYDn8X7VgiFBzN7FGwnB,cryptoe,0.00015870,47397.84,1336.30,5.24,"=HYPERLINK(""https://dexscreener.com/solana/GTLjYQ14NtB4X2ayUnGJRtBFWYDn8X7VgiFBzN7FGwnB"",""Open Chart"")",Yes,Yes
3hE9V3f9N5UL4NApcY1chF4R16B15q3eDgAFGmm2pump,SOLAND,0.00005546,25459.10,574.59,4.23,"=HYPERLINK(""https://dexscreener.com/solana/3hE9V3f9N5UL4NApcY1chF4R16B15q3eDgAFGmm2pump"",""Open Chart"")",Yes,Yes
TCp4CAKknpBv8W2feJrEk1mWtZxTaWaFAkxR4sofart,Farthole Coin,0.00040410,65490.90,710.11,4.82,"=HYPERLINK(""https://dexscreener.com/solana/TCp4CAKknpBv8W2feJrEk1mWtZxTaWaFAkxR4sofart"",""Open Chart"")",Yes,
GQCG366AEhYZxMJ83ESbwJXhMDzBzDXRtep82Wa3pump,PiTokens,0.00012090,37208.68,505.54,5.50,"=HYPERLINK(""https://dexscreener.com/solana/GQCG366AEhYZxMJ83ESbwJXhMDzBzDXRtep82Wa3pump"",""Open Chart"")",Yes,Yes
6nz8p3Mzw4q4rhHZFbaLAqGv48Ab2PRPSYW1o8YHbonk,looks good,0.00059270,91830.80,1751.23,2.77,"=HYPERLINK(""https://dexscreener.com/solana/6nz8p3Mzw4q4rhHZFbaLAqGv48Ab2PRPSYW1o8YHbonk"",""Open Chart"")",,Yes
6JfSL6ARbD3HZREPcW4awJHxqMP839RLKCemztoypump,I'm Rich Suddenly,0.00005495,26534.15,280.01,4.75,"=HYPERLINK(""https://dexscreener.com/solana/6JfSL6ARbD3HZREPcW4awJHxqMP839RLKCemztoypump"",""Open Chart"")",Yes,
GzKXvgW3nG8LDTHshDfN7B2Z91gRmrcrQeTMibwbonk,Wrapped Bonk,0.00003120,20400.94,88.97,8.30,"=HYPERLINK(""https://dexscreener.com/solana/GzKXvgW3nG8LDTHshDfN7B2Z91gRmrcrQeTMibwbonk"",""Open Chart"")",Yes,
FsZD7dXdRFWSzS2GGiM6RtyqkaHz9cmZGBPqvSCvbonk,Nala the Bambino,0.00001769,14431.38,180.78,2.25,"=HYPERLINK(""https://dexscreener.com/solana/FsZD7dXdRFWSzS2GGiM6RtyqkaHz9cmZGBPqvSCvbonk"",""Open Chart"")",,Yes
FRdZhWyq14XTzcVGDsF2VrsAgY8sH18NQxLaLGR2bonk,NIGGABONK,0.00027910,60460.48,850.31,2.76,"=HYPERLINK(""https://dexscreener.com/solana/FRdZhWyq14XTzcVGDsF2VrsAgY8sH18NQxLaLGR2bonk"",""Open Chart"")",,Yes
