Address,Name,Price USD,Liquidity(1m),Volume(1m),1m Change,Open Chart,Snipe,Ghost Buyer,Global_Cluster_Percentage,DexScreener_Pair_Address,DexScreener_Liquidity_USD,DexScreener_Token_Price_USD,DexScreener_Token_Name,LP_Percent_Supply,Cluster_Token_Amount_Est,Pool_Project_Token_Amount_Est,Dump_Risk_LP_vs_Cluster_Ratio,Price_Impact_Cluster_Sell_Percent,Overall_Risk_Status,Risk_Warning_Details
14bLBcB1iHUBGioLSwjbWBsP26nZKU16Qg44p5Vderp,Derpy,0.00040510,78571.39,8629.63,0.00,"=HYPERLINK(""https://dexscreener.com/solana/14bLBcB1iHUBGioLSwjbWBsP26nZKU16Qg44p5Vderp"",""Open Chart"")",Yes,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Data Missing,Bubblemaps data not available.
7H3W4FmiaxVLp7VJLTo2yWM5SBGtARrwuoNhH6J4pump,FAKECOIN,0.00019560,49194.64,6260.25,17.76,"=HYPERLINK(""https://dexscreener.com/solana/7H3W4FmiaxVLp7VJLTo2yWM5SBGtARrwuoNhH6J4pump"",""Open Chart"")",Yes,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Data Missing,Bubblemaps data not available.
7saDQT4uZnmcF8sDiL9BdFcbaNMPpUTXixudNe4Ubonk,Clown World Token (CLWN),0.00038540,67196.06,83.50,0.00,"=HYPERLINK(""https://dexscreener.com/solana/7saDQT4uZnmcF8sDiL9BdFcbaNMPpUTXixudNe4Ubonk"",""Open Chart"")",Yes,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Data Missing,Bubblemaps data not available.
4MgoTdqxQKBm8W8omFm7b6k2U6mh9vXkB7Uc7ZEijX3o,Baby Pump,0.00007016,29548.17,1768.53,0.00,"=HYPERLINK(""https://dexscreener.com/solana/4MgoTdqxQKBm8W8omFm7b6k2U6mh9vXkB7Uc7ZEijX3o"",""Open Chart"")",Yes,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Data Missing,Bubblemaps data not available.
TcUbJQ1J3YqA3KauiRVjUvqS2ZpXaZCkdqz2HLVbonk,Internet Coin,0.00003990,22101.28,2126.51,0.00,"=HYPERLINK(""https://dexscreener.com/solana/TcUbJQ1J3YqA3KauiRVjUvqS2ZpXaZCkdqz2HLVbonk"",""Open Chart"")",Yes,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Data Missing,Bubblemaps data not available.
H5HF51yiCZ5qZLJ2S798t7MJF6fT9JgMmjZZnXvmbonk,Nala the Cat,0.00074450,25334.79,7953.14,0.00,"=HYPERLINK(""https://dexscreener.com/solana/H5HF51yiCZ5qZLJ2S798t7MJF6fT9JgMmjZZnXvmbonk"",""Open Chart"")",Yes,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Data Missing,Bubblemaps data not available.
EM26rXAvEE8BSFpZCAhdoDeE2wgpGCTDCb6RKmcxbonk,CRINGE,0.00009868,35136.57,24.65,0.00,"=HYPERLINK(""https://dexscreener.com/solana/EM26rXAvEE8BSFpZCAhdoDeE2wgpGCTDCb6RKmcxbonk"",""Open Chart"")",Yes,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Data Missing,Bubblemaps data not available.
76if6EqZci5KKCPvFGKdxB89F6DHrcrmdhRWQudVbonk,Qin Wif Polar Bear,0.00023650,55577.72,5138.81,0.00,"=HYPERLINK(""https://dexscreener.com/solana/76if6EqZci5KKCPvFGKdxB89F6DHrcrmdhRWQudVbonk"",""Open Chart"")",Yes,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Data Missing,Bubblemaps data not available.
HkxkA2PkMg9tzv2A26H5bN1XvHjwggk6JZZ9FNSaeFbg,Grok for Government,0.00004302,23711.16,2764.53,0.00,"=HYPERLINK(""https://dexscreener.com/solana/HkxkA2PkMg9tzv2A26H5bN1XvHjwggk6JZZ9FNSaeFbg"",""Open Chart"")",Yes,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Data Missing,Bubblemaps data not available.
AEkE8Ji31oaiUhZ6ag7bcxBgnMcAeaxzkgiWYVjYbonk,恭喜發財,0.00003359,20231.75,860.90,0.00,"=HYPERLINK(""https://dexscreener.com/solana/AEkE8Ji31oaiUhZ6ag7bcxBgnMcAeaxzkgiWYVjYbonk"",""Open Chart"")",Yes,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Data Missing,Bubblemaps data not available.
